"LID","ISO639.3","WALSCode","Glottocode","LanguageAutotyp","LanguageWALS","Area","WALSOrder","WALSTwoOrder","WordOrderSPVBasicLex","WordOrderSPVLexFlexible"
432,"cos","coo","coos1249","Hanis (Coos)","Coos (Hanis)","Alaska-Oregon","No dominant order",NA,"OVS","flexible"
70,"dhv","dre","dehu1237","Drehu","Drehu","Oceania","No dominant order","SVO or VOS","VOS","flexible"
77,"fij","fij","fiji1243","Fijian (Boumaa)","Fijian","Oceania","No dominant order","VSO or VOS","VOS","flexible"
585,"fij","fij","fiji1243","Fijian","Fijian","Oceania","No dominant order","VSO or VOS","VOS","rigid"
79,"fra","fre","stan1290","French (colloquial)","French","Europe","SVO",NA,"free","free"
528,"grt","gar","garo1247","Garo","Garo","Indic","SOV",NA,"xxV","flexible"
87,"deu","ger","stan1295","German","German","Europe","No dominant order","SOV or SVO","V-2","flexible"
107,"hun","hun","hung1274","Hungarian","Hungarian","Europe","No dominant order","SOV or SVO","SVO","flexible"
176,"arn","map","mapu1245","Mapudungun","Mapudungun","Andean","SVO",NA,"free","free"
327,"pwn","pai","paiw1248","Paiwan","Paiwan","Oceania","No dominant order","VSO or VOS","Vxx","flexible"
414,"yad","yag","yagu1244","Yagua","Yagua","NE South America","No dominant order",NA,"VSO","rigid"
418,"yok","ywl","yoku1256","Yokuts (Yawelmani)","Yawelmani","California","No dominant order",NA,"SOV","rigid"
84,"wrk","grr","gara1269","Garrwa","Garrwa","N Australia","No dominant order","SVO or VSO","VOS","rigid"
163,"lgg","lug","lugb1240","Logbara","Lugbara","S Africa","No dominant order","SOV or SVO","SOV","flexible"
2023,"mkf","miy","miya1266","Miya","Miya","African Savannah","No dominant order","SVO or VOS","SVO","flexible"
346,"smo","sam","samo1305","Samoan","Samoan","Oceania","No dominant order","VSO or VOS","Vxx","flexible"
372,"tee","tee","hueh1236","Tepehua (Huehuetla)","Tepehua (Huehuetla)","Mesoamerica","No dominant order","SVO or VSO","SVO","rigid"
382,"tqw","ton","tonk1249","Tonkawa","Tonkawa","Basin and Plains","No dominant order","SOV or SVO","SOV","rigid"
388,"tzj","tzu","tzut1248","Tzutujil","Tzutujil","Mesoamerica","No dominant order","SVO or VOS","VOS","rigid"
2878,"adn","adg","adan1251","Adang","Adang","Oceania","SOV",NA,"SVO","rigid"
93,"gup","bbw","gunw1252","Gunwinggu","Bininj Gun-Wok","N Australia","No dominant order",NA,"SOV","free"
1056,"bug","bug","bugi1244","Bugis","Bugis","Oceania","SVO",NA,"free","free"
29,"cni","cax","asha1243","Axininca Campa","Campa (Axininca)","Andean","No dominant order",NA,"SVO","rigid"
441,"ute","cmh","utes1238","Paiute (Southern)","Chemehuevi","Basin and Plains","No dominant order",NA,"SOV","rigid"
68,"jig","dji","djin1251","Djingili","Djingili","N Australia","SOV",NA,"free","free"
660,"bdy","gid","band1339","Bandjalang","Gidabal","S Australia","No dominant order",NA,"SOV","rigid"
88,"git","git","gitx1241","Gitksan","Gitksan","Alaska-Oregon","No dominant order",NA,"VSO","rigid"
2920,"ynd","inn","yand1253","Yandruwandha","Innamincka","S Australia","SOV",NA,"free","free"
2882,"kab","kbl","kaby1243","Berber (Kabyle)","Kabyle","N Africa","VSO",NA,"SVO","rigid"
139,"kpv","kzy","komi1268","Komi (Zyrian)","Komi-Zyrian","Inner Asia","SVO",NA,"SOV","flexible"
166,"lui","lui","luis1253","Luiseño","Luiseño","Mesoamerica","No dominant order",NA,"SVO","rigid"
408,"xww","mdm","west2443","Wemba Wemba","Madimadi","S Australia","No dominant order",NA,"SVO","rigid"
44,"caq","nca","carn1240","Car","Nicobarese (Car)","Southeast Asia","VOS",NA,"Vxx","flexible"
77,"fij","ndr","fiji1243","Fijian (Boumaa)","Nadroga","Oceania","No dominant order",NA,"VOS","flexible"
585,"fij","ndr","fiji1243","Fijian","Nadroga","Oceania","No dominant order",NA,"VOS","rigid"
328,"ood","nev","toho1245","O’odham","Nevome","Basin and Plains","SOV",NA,"Vxx","flexible"
328,"ood","ood","toho1245","O’odham","O'odham","Basin and Plains","No dominant order",NA,"Vxx","flexible"
332,"ppl","pip","pipi1250","Pipil","Pipil","Mesoamerica","No dominant order",NA,"VOS","rigid"
442,"sis","siu","sius1254","Siuslaw (Lower Umpqua)","Siuslaw","Alaska-Oregon","No dominant order",NA,"Vxx","flexible"
2969,"shi","tas","tach1250","Shilha","Tashlhiyt","N Africa","No dominant order",NA,"VSO","rigid"
441,"ute","ute","utes1238","Paiute (Southern)","Ute","Basin and Plains","No dominant order",NA,"SOV","rigid"
398,"wao","wap","wapp1239","Wappo","Wappo","California","SOV",NA,"xxV","flexible"
408,"xww","wem","west2443","Wemba Wemba","Wembawemba","S Australia","VOS",NA,"SVO","rigid"
418,"yok","wik","yoku1256","Yokuts (Yawelmani)","Wikchamni","California","No dominant order",NA,"SOV","rigid"
418,"yok","yok","yoku1256","Yokuts (Yawelmani)","Yokuts (Yaudanchi)","California","No dominant order",NA,"SOV","rigid"
492,"zoc","zqo","copa1236","Zoque (Copainalá)","Zoque (Ostuacan)","Mesoamerica","No dominant order",NA,"VOS","rigid"
